"Tenure","Bandwidth_GB_Year","cluster"
-1.04869377389291,-1.13843010098377,2
-1.26193805762254,-1.18581654130082,2
-0.709904305418945,-0.612107142999799,2
-0.659490986860166,-0.561829053122068,2
-1.24248907260102,-1.42811305763149,2
-1.04092309275508,-1.07673505207545,2
-0.805103954010779,-0.679587276783934,2
-1.14441860851159,-1.10407473812901,2
-0.994797844893312,-0.95157254565422,2
-1.1762670000087,-1.31953715775429,2
-0.577048368523458,-0.303654072125014,2
-0.90776891525446,-1.01210724917612,2
-0.813623448259924,-1.00487745591394,2
-0.667357185375675,-0.66061888679581,2
-0.925232807257973,-0.828284710742621,2
-0.781156685538985,-0.710351319871819,2
-0.70884521856533,-0.604936592086475,2
-1.2185750670312,-1.14869760190019,2
-0.658631415473952,-0.713516918780496,2
-0.821388579057315,-0.658154088055264,2
-0.532172786347673,-0.485985754074606,2
-1.21431456568234,-1.28048447042243,2
-1.05410971065514,-1.22604885009068,2
-0.982581744605359,-1.11973963340018,2
-1.08746094339107,-1.1538843680189,2
-1.14844977216667,-1.19802956563037,2
-0.912168439682888,-0.862993394522996,2
-1.25302303127688,-1.36059016275272,2
-1.25158731437327,-0.976035821600927,2
-1.1004898945693,-0.75377269657727,2
-0.886558052962783,-0.730737007391464,2
-1.17006125836294,-1.32698999373286,2
-1.12690424863987,-1.0883420976747,2
-0.51533191975657,-0.325621677982201,2
-1.17440474147646,-1.05730683672377,2
-1.09849605139239,-0.998666326104667,2
-1.18039263142778,-1.14160779382109,2
-1.03485087735964,-0.938734373281848,2
-0.933274071576747,-1.04258144762391,2
-0.699017598230907,-0.85216594806942,2
-0.958527715277624,-0.952825257615241,2
-1.1921215173495,-1.14375643810805,2
-1.15727644951763,-1.03727860943386,2
-0.603810232681213,-0.629494695968995,2
-0.972950589637782,-0.905875350656121,2
-0.91323847118403,-0.769530883607112,2
-0.463967737058017,-0.461015885162301,2
-0.94917303497951,-0.996845520552699,2
-1.01220869920525,-1.2137176018978,2
-0.868159789992246,-1.14143404111235,2
-1.17922713821573,-1.08267054905681,2
-1.02814560246445,-0.987554253071155,2
-1.09819555590474,-1.21950059154147,2
-1.24695865759792,-1.34511340474803,2
-0.848861009546339,-0.958985925584145,2
-0.77674534591334,-0.7100704415275,2
-0.944021705880091,-0.946330624186623,2
-1.0510597631082,-1.1139008729758,2
-0.711168652914116,-0.697149641403638,2
-1.03212638333979,-1.24268294445993,2
-1.19710683651802,-1.05493830233847,2
-1.21700398921837,-1.22985120572738,2
-1.0046377084011,-0.904178606623676,2
-0.842397390623064,-1.05083801994865,2
-0.941314641157538,-1.05648502267977,2
-1.00630004054531,-0.833617582866042,2
-1.13659050577244,-1.09134746465879,2
-0.897623232291744,-0.946926282478936,2
-0.842726940574299,-0.724666967925061,2
-1.22233680338506,-1.03972243160004,2
-0.401045292206369,-0.327439450991448,2
-1.16457801506269,-0.972067745626948,2
-1.00389932475493,-1.17588909353521,2
-0.958140857894899,-0.830288848534426,2
-1.2157274867015,-1.25548017883261,2
-1.10015783522644,-0.798170953815625,2
-1.26437044512249,-1.20086957250317,2
-0.544050933913384,-0.44218789178915,2
-0.373536515700491,-0.334891933196247,2
-0.939696312085754,-1.03546294186132,2
-0.934008537711486,-0.741801538556709,2
-1.00948782394172,-1.12067368053699,2
-0.570043082010434,-0.679595005260474,2
-0.763093224558827,-0.68933600884921,2
-1.22031362956627,-1.26326110243706,2
-1.21650277511221,-1.29489712781049,2
-1.12980897427913,-1.28059804845961,2
-1.16493372590194,-1.19665109494178,2
-1.16323734509201,-0.914814381001727,2
-1.14869188262451,-1.37221257863482,2
-1.22290181630393,-1.3648468901182,2
-0.781728618155567,-0.573942865118888,2
-1.18189210441076,-1.34918064509782,2
-0.558756209374529,-0.41685722442481,2
-0.61044909454306,-0.530259963521562,2
-1.12897577903587,-1.02202586403757,2
-1.04866403361619,-1.31009058871258,2
-0.814953473472702,-0.656940114116212,2
-0.537553037568741,-0.611338359785887,2
-1.04100550034267,-1.06391522917201,2
-0.758736093858226,-0.725854369248553,2
-0.884597512660519,-0.912755646000823,2
-1.2095380891913,-1.1824084057846,2
-0.654244484518703,-0.689064732412833,2
-0.443747633301661,-0.502248205780115,2
-1.16107951546388,-1.17421119844663,2
-0.898354383228042,-0.603935610915644,2
-0.810778862477463,-0.894866796376496,2
-0.747322662130173,-0.653920392089845,2
-0.947435526633971,-0.946406221307907,2
-1.10912802231579,-1.22976722635051,2
-1.05693639945621,-1.1456988591023,2
-1.18562727058212,-1.37979573702717,2
-0.629509700232575,-0.817213115084462,2
-0.809448127437679,-0.897330697297694,2
-0.422795621510622,-0.520977331030386,2
-1.06698983043457,-0.933076700137086,2
-0.829828453935984,-0.773755533196031,2
-1.03641896970134,-0.961702886177993,2
-0.952283839924959,-0.910207360128187,2
-0.459403584951584,-0.360792447233045,2
-1.12417665354201,-0.977467042196407,2
-0.925742425610012,-1.103442839647,2
-0.997223189373984,-0.935559035641587,2
-1.00341617882819,-1.03650713276191,2
-1.03222370432852,-0.971267261885337,2
-1.13067523479219,-1.0770153826676,2
-0.925502675771316,-0.851686526723219,2
-1.14794356926621,-1.09875216365489,2
-1.13290604299421,-0.982954168561367,2
-1.07556216088577,-1.02046120744389,2
-1.20243021013678,-1.28825900276121,2
-0.981402466378885,-0.892038285160668,2
-0.937220724559538,-0.830612322503723,2
-0.947063863482172,-1.146482211563,2
-0.986201924247258,-1.06497167516941,2
-1.06493676435213,-1.11676214402718,2
-1.03145353771486,-0.909674048571304,2
