"","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_response","Timely_fixes","Timely_replacements","Reliability","Options","Respectful","Courteous","Active_listening"
"1",-0.673371115250152,"Urban",0,68,-0.398757800952205,"Widowed","Male","0",-0.679943603480657,10,0,1,"0","One year","1","1","Fiber Optic","1","0","1","1","0","0","0","1","1","Credit Card (automatic)",-1.04869377389291,-0.00394236166299573,-1.13843010098377,"5","5","5","3","4","4","3","4"
"2",0.0477691397657114,"Urban",1,27,-0.641922349008825,"Married","Female","1",0.570302573665199,12,0,1,"1","Month-to-month","0","1","Fiber Optic","1","1","1","0","0","0","1","1","1","Bank Transfer(automatic)",-1.26193805762254,1.63024437914921,-1.18581654130082,"3","4","3","3","4","3","4","4"
"3",-0.417216664558987,"Urban",4,50,-1.07083141735641,"Widowed","Female","0",0.252334435626085,9,0,1,"1","Two Year","1","0","DSL","1","1","0","0","0","0","0","1","1","Credit Card (automatic)",-0.709904305418945,-0.295210055804357,-0.612107142999799,"4","4","2","4","4","3","3","3"
"4",0.284523199276588,"Suburban",1,48,-0.740487888382696,"Married","Male","0",1.65042332452711,15,2,0,"1","Two Year","0","0","DSL","1","0","1","0","0","0","1","0","1","Mailed Check",-0.659490986860166,-1.22645974405107,-0.561829053122068,"4","4","4","2","5","4","3","3"
"5",0.110543262656216,"Suburban",0,83,0.00947744746295711,"Separated","Male","1",-0.623124888508078,16,2,1,"0","Month-to-month","1","0","Fiber Optic","0","0","0","0","0","1","1","0","0","Mailed Check",-1.24248907260102,-0.528059299851802,-1.42811305763149,"4","4","4","3","4","4","4","5"
"6",0.550447132669256,"Urban",3,83,-0.608041752477033,"Never Married","Female","0",-0.53119793921404,15,3,1,"0","One year","1","0","None","1","1","1","1","1","0","0","1","0","Electronic Check",-1.04092309275508,0.288355463187839,-1.07673505207545,"3","3","3","2","4","3","3","3"
"7",-0.500361198188794,"Suburban",0,79,-1.00494718019166,"Widowed","Male","1",0.39679729786942,10,0,1,"1","Month-to-month","0","0","DSL","1","0","0","0","0","1","1","1","0","Electronic Check",-0.805103954010779,0.64023565053897,-0.679587276783934,"6","5","6","4","1","5","5","5"
"8",0.927576879791791,"Suburban",2,30,-0.462671110309328,"Married","Female","1",-0.742675283016948,16,0,0,"1","Month-to-month","0","0","DSL","0","0","0","1","0","0","0","0","1","Mailed Check",-1.14441860851159,-1.34303110678202,-1.10407473812901,"2","2","2","5","2","3","4","5"
"9",0.526196643693895,"Suburban",2,49,0.667646767476934,"Separated","Nonbinary","0",-1.43239743206318,20,2,3,"0","Month-to-month","1","0","DSL","1","0","1","1","0","0","0","0","1","Bank Transfer(automatic)",-0.994797844893312,-1.28440268113354,-0.95157254565422,"5","4","4","3","4","3","4","4"
"10",0.723110614173822,"Rural",1,86,0.369663263167598,"Married","Female","0",-0.434817174214402,18,1,0,"0","Two Year","1","0","Fiber Optic","1","0","1","0","1","0","0","1","1","Mailed Check",-1.1762670000087,-0.236175860605213,-1.31953715775429,"2","2","2","2","5","2","3","3"
"11",-0.637549678677977,"Urban",7,23,-0.610860909740545,"Separated","Female","0",-0.221845502680737,9,0,2,"0","Month-to-month","0","0","DSL","1","1","1","1","0","0","1","0","0","Mailed Check",-0.577048368523458,0.054334738578841,-0.303654072125014,"4","4","4","7","3","3","3","4"
"12",1.63624545476318,"Rural",2,56,-0.761165609035861,"Married","Female","0",-1.11592754209245,17,1,1,"0","Month-to-month","1","0","Fiber Optic","1","0","0","0","1","0","1","0","0","Electronic Check",-0.90776891525446,-0.527738479932177,-1.01210724917612,"4","4","3","4","4","4","3","4"
"13",-0.637480391566618,"Rural",0,83,1.55547102117419,"Divorced","Male","0",-0.580632246153202,9,0,0,"0","Month-to-month","1","0","Fiber Optic","1","0","0","0","0","0","1","0","0","Bank Transfer(automatic)",-0.813623448259924,-0.819355543403155,-1.00487745591394,"1","2","1","4","3","2","3","3"
"14",-0.676004025481763,"Urban",5,29,2.67049169065437,"Separated","Female","0",-1.38483064332494,14,1,0,"0","Two Year","1","1","Fiber Optic","1","1","1","0","0","1","1","0","1","Bank Transfer(automatic)",-0.667357185375675,0.287513046013395,-0.66061888679581,"5","6","5","2","4","5","4","4"
"15",-0.110274761242281,"Urban",1,30,0.867019696818377,"Separated","Male","1",0.601099031687827,10,3,0,"0","Month-to-month","0","0","DSL","0","1","0","1","0","1","0","0","1","Bank Transfer(automatic)",-0.925232807257973,-0.294790943013954,-0.828284710742621,"3","3","4","2","3","4","4","2"
"16",-0.530986101409107,"Suburban",3,39,1.74661945813669,"Divorced","Male","1",0.26768025402102,13,1,0,"0","One year","0","0","None","1","0","1","0","0","0","1","1","1","Electronic Check",-0.781156685538985,0.117037300095639,-0.710351319871819,"3","3","3","2","4","3","5","2"
"17",2.79382522422418,"Urban",0,63,-0.288923788576745,"Married","Female","1",1.1831237736459,13,1,0,"0","Month-to-month","1","0","DSL","1","1","0","1","1","0","0","1","1","Bank Transfer(automatic)",-0.70884521856533,0.520257570079816,-0.604936592086475,"3","4","4","3","5","4","4","3"
"18",-0.173741755246367,"Rural",2,60,0.153755178600958,"Separated","Male","1",-0.0573522722734736,16,3,0,"0","Two Year","0","0","None","1","0","1","0","1","1","1","1","0","Mailed Check",-1.2185750670312,0.699950607117971,-1.14869760190019,"2","2","4","3","3","4","3","3"
"19",-0.0203400906993725,"Rural",3,61,-0.01931873688717,"Widowed","Female","0",-0.143528132976216,11,1,0,"1","Two Year","1","0","None","1","0","0","1","1","1","1","0","1","Bank Transfer(automatic)",-0.658631415473952,-0.468854832804484,-0.713516918780496,"3","4","3","4","3","2","3","5"
"20",-0.455878872696847,"Rural",3,23,-0.720292084046652,"Divorced","Male","1",0.309343711869999,10,1,0,"0","Month-to-month","1","0","DSL","1","1","0","0","0","0","1","0","1","Credit Card (automatic)",-0.821388579057315,-0.528144249482838,-0.658154088055264,"5","5","5","4","4","4","3","3"
"21",-0.671223214798049,"Rural",4,38,-0.00647933725949871,"Never Married","Male","0",0.694566664932553,14,0,3,"0","Month-to-month","0","0","Fiber Optic","1","0","1","1","1","0","0","1","1","Bank Transfer(automatic)",-0.532172786347673,0.287674701807982,-0.485985754074606,"2","3","3","2","4","2","3","3"
"22",0.324501862530254,"Suburban",3,30,0.209487967340224,"Divorced","Male","0",-1.01377980822756,18,1,0,"0","Two Year","0","1","Fiber Optic","1","0","1","0","1","0","0","0","0","Bank Transfer(automatic)",-1.21431456568234,-1.05090355377936,-1.28048447042243,"5","5","4","4","3","4","3","5"
"23",-0.649605636054299,"Urban",3,52,-0.43847281188105,"Widowed","Male","0",-0.211313343101382,16,1,1,"0","Month-to-month","0","0","Fiber Optic","1","0","0","0","0","1","0","0","1","Electronic Check",-1.05410971065514,-1.10985279934747,-1.22604885009068,"3","3","3","2","2","3","5","5"
"24",-0.524057390273289,"Urban",2,68,1.41463869028428,"Divorced","Male","0",-0.972052054422172,9,0,0,"0","One year","1","0","Fiber Optic","1","0","0","0","0","1","1","0","1","Electronic Check",-0.982581744605359,-0.528059299851802,-1.11973963340018,"4","4","3","5","3","4","4","3"
"25",-0.0223494169287596,"Rural",3,75,-0.400235464891457,"Widowed","Female","1",1.25870538982012,15,1,0,"0","Month-to-month","0","1","None","1","1","1","0","1","0","0","1","0","Credit Card (automatic)",-1.08746094339107,-0.235495099225356,-1.1538843680189,"3","3","4","2","4","4","3","4"
"26",1.37267728315669,"Suburban",1,77,-0.966247420488661,"Separated","Male","1",-0.0786890470007671,12,1,0,"0","Month-to-month","0","1","DSL","1","0","0","0","0","0","0","0","0","Bank Transfer(automatic)",-1.14844977216667,-1.86688166919522,-1.19802956563037,"4","4","4","4","2","4","5","5"
"27",-0.461976138496366,"Rural",1,47,-1.10087902384276,"Married","Female","1",1.96932915141285,15,0,1,"0","Month-to-month","1","0","Fiber Optic","1","0","1","0","1","0","1","1","0","Mailed Check",-0.912168439682888,1.16491752240347,-0.862993394522996,"5","3","5","3","3","5","4","4"
"28",-0.284393272085369,"Urban",0,70,0.144532101712066,"Widowed","Female","1",1.59082250249245,12,0,0,"0","Month-to-month","1","0","None","1","0","0","1","1","0","1","0","1","Electronic Check",-1.25302303127688,-0.760151076355838,-1.36059016275272,"2","2","3","4","4","2","2","2"
"29",-0.557107342391138,"Urban",3,20,-1.03987565215914,"Separated","Female","1",1.15380040088346,13,2,0,"1","One year","0","0","DSL","1","0","0","0","1","0","1","1","0","Bank Transfer(automatic)",-1.25158731437327,0.640556470458594,-0.976035821600927,"3","4","3","3","2","4","4","2"
"30",2.96046072704058,"Suburban",4,69,-0.225679275521382,"Never Married","Male","1",0.206941885557378,18,1,0,"0","Two Year","0","1","DSL","1","1","1","1","1","0","1","1","1","Credit Card (automatic)",-1.1004898945693,1.97997937873699,-0.75377269657727,"4","4","4","3","2","5","5","4"
"31",0.10472314530213,"Urban",9,45,0.126830630985022,"Married","Male","0",-1.13869472527177,14,0,0,"0","Two Year","1","0","Fiber Optic","0","0","0","1","0","0","1","1","1","Credit Card (automatic)",-0.886558052962783,1.33852259569721,-0.730737007391464,"3","2","1","5","3","3","3","2"
