"","x"
"1",1.59204971374935
"2",16.674605017204
"3",1.26680989851118
"4",4.4624420549162
"5",19.0625899604443
"6",14.0928133934559
"7",12.4036665828025
"8",20.2576383623347
"9",8.1409242963097
"10",4.57262527448305
"11",11.3104665557953
"12",3.78557969970752
"13",20.4783206807803
"14",2.89384471689202
"15",11.7650352507195
"16",5.29988442237884
"17",6.31473844841774
"18",15.9433238133733
"19",9.22689342099073
"20",4.90425824182409
"21",11.0170793496693
"22",11.828791980862
"23",24.3425222731426
"24",8.18331431465462
"25",14.7516291581356
"26",5.06730788675912
"27",4.15750739760837
"28",4.20169033539001
"29",6.99968509380415
"30",17.0385797697755
"31",3.42242589226572
"32",11.1899686455668
"33",4.80234405595912
"34",18.308494027375
"35",12.709199220009
"36",13.0160143065361
"37",7.65087644196124
"38",2.31421173203134
"39",9.9752343614375
"40",6.1716166879628
"41",6.83438802319874
"42",15.0682159782926
"43",3.04070187802095
"44",6.58567680234274
"45",5.13521860888462
"46",8.30018111735351
"47",19.2949692648069
"48",9.82683426111517
"49",2.56141048368091
"50",16.0821322650623
"51",17.6644708436708
"52",5.7899817105574
"53",6.57854596471309
"54",2.75840213925509
"55",3.4852651677334
"56",18.3649930962993
"57",18.1682503215195
"58",15.5438053752124
"59",21.4899073593564
"60",4.74499664295251
"61",5.40701931730477
"62",10.7163566281083
"63",5.49835821083705
"64",12.4352799239073
"65",8.98677823424075
"66",16.1818868189855
"67",23.3231030183801
"68",13.1488651458863
"69",12.2046999397794
"70",2.05961873158047
"71",1.63254780708903
"72",6.97562380261897
"73",10.7954201934461
"74",3.19280655621082
"75",9.82381596361472
"76",1.58644079597118
"77",2.79400587555214
"78",9.94148562461171
"79",9.34432481826231
"80",20.7799171032384
"81",5.62372878206845
"82",12.2145186914517
"83",8.57847270725643
"84",15.0693861510408
"85",8.06629265979462
"86",4.26350158159912
"87",14.3440748145632
"88",2.80283765328395
"89",9.61601046876045
"90",12.27735743316
"91",2.27782173270795
"92",4.42612859688034
"93",3.31621474147983
"94",5.5389103765426
"95",23.289540348426
"96",11.537597745564
"97",2.01126812247049
"98",13.8732296606437
"99",6.90238689941107
"100",13.5339498041888
"101",14.9474569450858
"102",8.57093642201156
"103",14.8658096550032
"104",2.48246420841082
"105",9.97437710676975
"106",10.0631987493468
"107",21.9300059210167
"108",2.11698738277261
"109",7.49100142605994
"110",5.62490761646038
"111",10.7502682606613
"112",17.8118574448257
"113",17.7165916092396
"114",2.84932136679789
"115",6.16056400992315
"116",5.57502366273823
"117",1.87308617811224
"118",8.83737828709453
"119",0.9665975857775
"120",32.7250047842669
"121",10.6769507291834
"122",6.61228436079377
"123",7.69234883861334
"124",16.72272341025
"125",13.6375288744483
"126",2.11227392194735
"127",0.988561302329368
"128",17.2601831500394
"129",10.6573014861424
"130",16.9183634121704
"131",5.42487451120921
"132",11.0274705334646
"133",14.2684542331103
"134",9.89220421553866
"135",7.58967903195702
"136",14.2811296005058
"137",8.68215767658688
"138",5.18500631930001
"139",7.39991865127512
"140",1.45940359909761
"141",1.86050762761782
"142",1.81402231777229
"143",15.7830988702271
"144",9.0095677729553
"145",17.1354726902601
"146",1.34706535334729
"147",1.7517060384913
"148",5.38862160161542
"149",6.80467711653486
"150",7.04146063221708
"151",15.204480096264
"152",2.19114739672664
"153",2.04748815514125
"154",8.49583800683479
"155",6.39513946857717
"156",9.64654999272577
"157",1.62382377503368
"158",7.57946889030518
"159",7.49517184967944
"160",2.00272235117392
"161",15.1820180236986
"162",22.3389470814656
"163",10.8201044759211
"164",4.69431375846805
"165",1.47259915765498
"166",5.32508307197465
"167",13.9894636485633
"168",19.6257900878774
"169",6.3814238851359
"170",3.83395709453788
"171",1.28482902706417
"172",6.80158023801895
"173",2.54753499453334
"174",14.3119370849293
"175",12.0627922070393
"176",15.6033973690191
"177",3.27059298562311
"178",14.9932674850199
"179",1.08422423315554
"180",3.91581777023039
"181",2.21780653053834
"182",2.75073373967347
"183",3.28626001520189
"184",5.3559455404763
"185",2.57043135924387
"186",11.6067246309185
"187",1.25432134363591
"188",5.74899215648613
"189",15.1794478491615
"190",4.94472773080547
"191",19.4038472873745
"192",14.7231442718191
"193",2.86972855040516
"194",24.6156616403717
"195",5.11139898000135
"196",3.85186613031969
"197",13.822867822716
"198",6.76014561579392
"199",20.9814076994172
"200",10.1572765033384
"201",2.25988223796489
"202",7.4396482516253
"203",1.46446566215786
"204",5.79888537391319
"205",16.4794271723056
"206",19.639956262296
"207",14.6752571644225
"208",9.94827441078562
"209",7.51407500937336
"210",8.68881533043877
"211",17.4005167919122
"212",8.04795280290023
"213",11.022845645061
"214",10.029822607077
"215",5.56868688739463
"216",5.97557526984594
"217",9.27397235033729
"218",5.01916162606535
"219",9.93307676756629
"220",14.9071468190339
